ZoneID,Longitude,Latitude
Z001,114.057815,30.561764
Z002,114.29144,30.150075
Z003,114.074624,30.40146
Z004,114.498043,30.884303
Z005,114.339113,31.016052
Z006,114.216967,30.805101
Z007,114.374129,30.880654
Z008,114.420389,30.961077
Z009,114.332791,30.357301
Z010,114.137018,30.335427
Z011,114.572269,30.66749
Z012,114.580453,30.807305
Z013,114.621027,30.490454
Z014,114.799021,30.832245
Z015,114.278803,30.755883
Z016,114.358285,30.371026
Z017,114.159427,30.504354
Z018,114.373536,30.691918
Z019,114.247536,30.70876
Z020,114.304422,30.6952
Z021,114.447117,30.428271
Z022,114.421089,30.431212
Z023,114.532077,30.477756
Z024,114.503443,30.557966
Z025,114.398156,30.507477
Z026,114.436689,30.485399
Z027,114.421845,30.47275
Z028,114.456385,30.579457
Z029,114.312931,30.488723
Z030,114.390249,30.449387
Z031,114.316031,30.405052
Z032,114.204873,30.53083
Z033,114.253908,30.464059
Z034,114.346617,30.510701
Z035,114.413787,30.620476
Z036,114.353437,30.562238
Z037,114.35683,30.611322
Z038,114.20685,30.640175
Z039,114.132175,30.620521
Z040,114.100883,30.510912
Z041,114.171968,30.664298
Z042,114.309013,30.550441
Z043,114.294195,30.514604
Z044,114.192042,30.575169
Z045,114.249751,30.550116
Z046,114.212539,30.546524
Z047,114.297341,30.65568
Z048,114.330255,30.579059
Z049,114.317357,30.659616
Z050,114.271745,30.600446
Z051,114.266578,30.578142
Z052,114.286929,30.584931
Z053,114.302886,30.596955
Z054,114.229792,30.620284
Z055,114.267751,30.638165
