,,"objective
mean","objective
std","distance
mean","distance
std","time
mean","num_routes
mean",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
experiment_type,algorithm,,,,,,,,,,,,,,,,,,,,
adaptive,CW_TS_ADP_first_stage,4.46,3.28,0.58,0.46,0.04,3.75,,,,,,,,,,,,,,
adaptive,SA_VNS_ADP_first_stage,4.46,3.28,0.58,0.46,0.04,3.75,,,,,,,,,,,,,,
adaptive,TS_ADP_tabu_size,17.48,14.44,0.89,0.81,0.16,16.46,,,,,,,,,,,,,,
adaptive,VNS_ADP_neighborhood_change,4.46,3.28,0.58,0.46,0.14,3.75,,,,,,,,,,,,,,
baseline,CW,2.37,0.31,0.35,0.22,0,1.04,,,,,,,,,,,,,,
baseline,SA,2.15,0.81,0.52,0.37,0,1.08,,,,,,,,,,,,,,
baseline,TS,17.48,14.44,0.89,0.81,0.16,16.46,,,,,,,,,,,,,,
baseline,VNS,4.34,3.21,0.47,0.39,0.02,3.75,,,,,,,,,,,,,,
hybrid,CW_TS,17.48,14.44,0.89,0.81,0.16,16.46,,,,,,,,,,,,,,
hybrid,CW_VNS,4.34,3.21,0.47,0.39,0.02,3.75,,,adaptive,adaptive,adaptive,adaptive,baseline,baseline,baseline,baseline,hybrid,hybrid,hybrid,hybrid
hybrid,SA_TS,17.48,14.44,0.89,0.81,0.16,16.46,,,CW_TS_ADP_first_stage,SA_VNS_ADP_first_stage,TS_ADP_tabu_size,VNS_ADP_neighborhood_change,CW,SA,TS,VNS,CW_TS,CW_VNS,SA_TS,SA_VNS
hybrid,SA_VNS,4.34,3.21,0.47,0.39,0.02,3.75,,objectivemean,4.46,4.46,17.48,4.46,2.37,2.15,17.48,4.34,17.48,4.34,17.48,4.34
,,,,,,,,,"objective
std",3.28,3.28,14.44,3.28,0.31,0.81,14.44,3.21,14.44,3.21,14.44,3.21
,,,,,,,,,"distance
mean",0.58,0.58,0.89,0.58,0.35,0.52,0.89,0.47,0.89,0.47,0.89,0.47
,,,,,,,,,"distance
std",0.46,0.46,0.81,0.46,0.22,0.37,0.81,0.39,0.81,0.39,0.81,0.39
,,,,,,,,,"time
mean",0.04,0.04,0.16,0.14,0,0,0.16,0.02,0.16,0.02,0.16,0.02
,,,,,,,,,"num_routes
mean",3.75,3.75,16.46,3.75,1.04,1.08,16.46,3.75,16.46,3.75,16.46,3.75
