algorithm,merchant_type,demand_sum,demand_mean,in_route_position_mean
CW,convenience,1705.79,17.23,13.84
CW,mall,23844.84,203.8,16.05
CW,supermarket,4987.97,27.87,10.82
CW_TS,convenience,1705.79,17.23,0
CW_TS,mall,23844.84,203.8,0
CW_TS,supermarket,4987.97,27.87,0
CW_TS_ADP_first_stage,convenience,1705.79,17.23,1.7
CW_TS_ADP_first_stage,mall,23844.84,203.8,1.94
CW_TS_ADP_first_stage,supermarket,4987.97,27.87,1.96
CW_VNS,convenience,1705.79,17.23,1.91
CW_VNS,mall,23844.84,203.8,2.09
CW_VNS,supermarket,4987.97,27.87,2.06
SA,convenience,1705.79,17.23,13.26
SA,mall,23844.84,203.8,14.03
SA,supermarket,4987.97,27.87,12.27
SA_TS,convenience,1705.79,17.23,0
SA_TS,mall,23844.84,203.8,0
SA_TS,supermarket,4987.97,27.87,0
SA_VNS,convenience,1705.79,17.23,1.91
SA_VNS,mall,23844.84,203.8,2.09
SA_VNS,supermarket,4987.97,27.87,2.06
SA_VNS_ADP_first_stage,convenience,1705.79,17.23,1.7
SA_VNS_ADP_first_stage,mall,23844.84,203.8,1.94
SA_VNS_ADP_first_stage,supermarket,4987.97,27.87,1.96
TS,convenience,1705.79,17.23,0
TS,mall,23844.84,203.8,0
TS,supermarket,4987.97,27.87,0
TS_ADP_tabu_size,convenience,1705.79,17.23,0
TS_ADP_tabu_size,mall,23844.84,203.8,0
TS_ADP_tabu_size,supermarket,4987.97,27.87,0
VNS,convenience,1705.79,17.23,1.91
VNS,mall,23844.84,203.8,2.09
VNS,supermarket,4987.97,27.87,2.06
VNS_ADP_neighborhood_change,convenience,1705.79,17.23,1.7
VNS_ADP_neighborhood_change,mall,23844.84,203.8,1.94
VNS_ADP_neighborhood_change,supermarket,4987.97,27.87,1.96
