,,route_load,route_load,capacity_utilization,route_length,fixed_cost
,,mean,max,mean,mean,sum
algorithm,vehicle_type,,,,,
CW,large,7501.5,13135.09,1.5,23.0,0
CW,medium,1421.41,1528.88,0.47,38.0,0
CW,small,259.56,843.78,0.26,12.5,0
CW_TS,large,9470.0,12960.0,1.89,1.0,0
CW_TS,medium,1915.28,2580.0,0.64,1.0,0
CW_TS,small,19.87,765.26,0.02,1.0,0
CW_TS_ADP_first_stage,large,9566.93,13043.76,1.91,5.0,0
CW_TS_ADP_first_stage,medium,1948.37,2630.66,0.65,5.0,0
CW_TS_ADP_first_stage,small,87.3,795.35,0.09,4.36,0
CW_VNS,large,9477.91,12971.29,1.9,2.0,0
CW_VNS,medium,1960.35,2616.68,0.65,5.0,0
CW_VNS,small,89.09,865.04,0.09,4.43,0
SA,large,7347.99,12960.0,1.47,11.67,0
SA,medium,1421.41,1528.88,0.47,38.0,0
SA,small,269.13,843.78,0.27,13.52,0
SA_TS,large,9470.0,12960.0,1.89,1.0,0
SA_TS,medium,1915.28,2580.0,0.64,1.0,0
SA_TS,small,19.87,765.26,0.02,1.0,0
SA_VNS,large,9477.91,12971.29,1.9,2.0,0
SA_VNS,medium,1960.35,2616.68,0.65,5.0,0
SA_VNS,small,89.09,865.04,0.09,4.43,0
SA_VNS_ADP_first_stage,large,9566.93,13043.76,1.91,5.0,0
SA_VNS_ADP_first_stage,medium,1948.37,2630.66,0.65,5.0,0
SA_VNS_ADP_first_stage,small,87.3,795.35,0.09,4.36,0
TS,large,9470.0,12960.0,1.89,1.0,0
TS,medium,1915.28,2580.0,0.64,1.0,0
TS,small,19.87,765.26,0.02,1.0,0
TS_ADP_tabu_size,large,9470.0,12960.0,1.89,1.0,0
TS_ADP_tabu_size,medium,1915.28,2580.0,0.64,1.0,0
TS_ADP_tabu_size,small,19.87,765.26,0.02,1.0,0
VNS,large,9477.91,12971.29,1.9,2.0,0
VNS,medium,1960.35,2616.68,0.65,5.0,0
VNS,small,89.09,865.04,0.09,4.43,0
VNS_ADP_neighborhood_change,large,9566.93,13043.76,1.91,5.0,0
VNS_ADP_neighborhood_change,medium,1948.37,2630.66,0.65,5.0,0
VNS_ADP_neighborhood_change,small,87.3,795.35,0.09,4.36,0
